year,code,name,TA,PDE,Total
2024,1041,Υπουργείο Ναυτιλίας και Νησιωτικής Πολιτικής,311280000,265000000,576280000
2024,1045,Υπουργείο Τουρισμού,38787000,129000000,167787000
2024,1053,Υπουργείο Ψηφιακής Διακυβέρνυσης,185765000,658000000,843765000
2024,1055,Υπουργείο Μετανάστευσης και Ασύλου,124304000,349000000,473304000
2024,1057,Υπουργείο Προστασίας του Πολίτη,2184973000,78000000,2262973000
2024,1059,Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας,679610000,257000000,936610000
2024,1901,Αποκεντρωμένη Διοίκηση Αττικής,11610000,0,11610000
2024,1902,Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας,7723000,0,7723000
2024,1903,Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας,8468000,0,8468000
2024,1904,Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας και Ιονίου,12467000,0,12467000
2024,1905,Αποκεντρωμένη Διοίκηση Αιγαίου,5631000,0,5631000
2024,1906,Αποκεντρωμένη Διοίκηση Κρήτης,6068000,0,6068000
2024,1907,Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης,17118000,0,17118000 
2025,1001,Προεδρία της Δημοκρατίας,4638000,0,4638000 
2025,1003,Βουλή των Ελλήνων,169950000,2000000,171950000
2025,1004,Προεδρία της Κυβέρνησης,37689000,4000000,41689000
2025,1007,Υπουργείο Εσωτερικών,3449276000,381000000,3830276000
2025,1009,Υπουργείο Εξωτερικών,390237000,30000000,420237000
2025,1011,Υπουργείο Εθνικής Άμυνας,6061000000,69000000,6130000000
2025,1015,Υπουργείο Υγείας,6608424000,569000000,7177424000
2025,1017,Υπουργείο Δικαιοσύνης,577803000,73000000,650803000
2025,1019,Υπουργείο Παιδείας και Θρησκευμάτων,5594000000,1012000000,6606000000
2025,1021,Υπουργείο Πολιτισμού και ΑΘλητισμού, 257419000,318000000,575419000
2025,1023,Υπουργείο Οικονομικών,1243381464000,3137000000,1246518464000
2025,1029,Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων,222403000,1059000000,1281403000
2025,1031,Υπουργείο Περιβάλλοντος και Ενέργειας,319227000,2022000000,2341227000
2025,1033,Υπουργείο Εργασίας και Κοινωνικών Υποθέσεων,22001637000,666000000,22667637000
2025,1035,Υπουργείο Ανάπτυξης και Επενδύσεων,123045000,695000000,818045000
2025,1039,Υπουργείο Υποδομών και Μεταφορών,881810000,1813000000,2694810000
2025,1041,Υπουργείο Ναυτιλίας και Νησιωτικής Πολιτικής,336864000,315000000,651864000
2025,1045,Υπουργείο Τουρισμού,39293000,150000000,189293000
2025,1053,Υπουργείο Ψηφιακής Διακυβέρνυσης,151928000,922000000,1073928000
2025,1055,Υπουργείο Μετανάστευσης και Ασύλου,141871000,334000000,475871000
2025,1057,Υπουργείο Προστασίας του Πολίτη,2217820000,68000000,2285820000
2025,1059,Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας,760116000,461000000,1221116000
2025,1901,Αποκεντρωμένη Διοίκηση Αττικής,13091000,0,13091000
2025,1902,Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας,10579000,0,10579000
2025,1903,Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας,9943000,0,9943000
2025,1904,Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας και Ιονίου,14918000,0,14918000
2025,1905,Αποκεντρωμένη Διοίκηση Αιγαίου,6188000,0,6188000
2025,1906,Αποκεντρωμένη Διοίκηση Κρήτης,6497000,0,6497000
2025,1907,Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης,18376000,0,18376000 
